Date,HPG,VCB
2019-03-21,14805.745498281856,50691.8809862118
2019-03-22,14782.61152094079,50920.222792456
2019-03-25,14528.137770189072,49854.627696649746
2019-03-26,14620.673679553332,49854.627696649746
2019-03-27,14967.683339669315,49854.627696649746
2019-03-28,15013.951294351446,50767.99492162653
2019-03-29,14898.281407646118,51224.67853411493
2019-04-01,14782.61152094079,51605.24821118859
2019-04-02,14852.013452963987,51376.90640494439
2019-04-03,14852.013452963987,51148.5645987002
2019-04-04,14990.81731701038,51529.13427577386
2019-04-05,15037.085271692511,51833.59001743279
2019-04-08,14990.81731701038,53051.412984068505
2019-04-09,14852.013452963987,53127.526919483236
2019-04-10,14782.61152094079,52442.501500750644
2019-04-11,14782.61152094079,52138.04575909172
2019-04-12,14828.879475622922,51757.47608201805
2019-04-16,14690.075611576529,51300.79246952966
2019-04-17,14620.673679553332,51757.47608201805
2019-04-18,14481.869815506941,51681.36214660332
2019-04-19,14620.673679553332,51757.47608201805
2019-04-22,14736.34356625866,51681.36214660332
2019-04-23,14759.477543599725,51376.90640494439
2019-04-24,15430.362886490622,52138.04575909172
2019-04-25,15314.692999785295,51529.13427577386
2019-04-26,15546.03277319595,51681.36214660332
2019-05-02,15731.104591924472,50920.222792456
2019-05-03,15800.506523947668,50767.99492162653
2019-05-06,15476.630841172753,50463.53917996761
2019-05-07,15499.764818513819,49930.74163206448
2019-05-08,15337.82697712636,49550.171954990816
2019-05-09,15222.157090421033,49854.627696649746
2019-05-10,15199.023113079968,49930.74163206448
2019-05-13,14828.879475622922,50159.08343830868
2019-05-14,14990.81731701038,50691.8809862118
2019-05-15,14990.81731701038,50844.10885704127
2019-05-16,14944.54936232825,50844.10885704127
2019-05-17,14921.415384987184,50844.10885704127
2019-05-20,15175.889135738902,51605.24821118859
2019-05-21,15222.157090421033,51529.13427577386
2019-05-22,15268.425045103164,51148.5645987002
2019-05-23,15152.755158397837,51453.02034035913
2019-05-24,14875.147430305053,50615.76705079707
2019-05-27,14898.281407646118,51300.79246952966
2019-05-28,14828.879475622922,51300.79246952966
2019-05-29,15037.085271692511,51376.90640494439
2019-05-30,14805.745498281856,51529.13427577386
2019-05-31,14852.013452963987,51148.5645987002
2019-06-03,14574.405724871202,50615.76705079707
2019-06-04,14616.046884085119,51148.5645987002
2019-06-05,14315.30517865127,50767.99492162653
2019-06-06,13653.6734266968,50159.08343830868
2019-06-07,13804.044279413725,49930.74163206448
2019-06-10,13773.970108870339,50767.99492162653
2019-06-11,13834.11844995711,51300.79246952966
